Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
1;47.0602;3.8524;7.9575;10.9786;10.2992;11.3791;9.4641;4.508;4.6331;14.7004;4.2241;7.242000000000001;6.5063;8.4029;6.644;3.8179;4.3981;11.0792;4.6384;2.3704;5.044;3.9026;5.6088;6.2205;6.8671;3.6433;8.413;8.0515;9.9538;10.595999999999998;7.2955;4.7702;4.5639;7.8419;8.4234;4.8249;1.9338;7.3448;7.6548;4.8275;5.4224;5.7579;6.2969;0.6479;11.3931;11.8438
0;46.5387;3.0995;6.9406;10.0491;9.1177;10.1985;8.3285;3.9292;4.0327;13.0194;3.8804;7.1146;6.0383;7.6887;6.006;3.3724;3.8408;10.0505;4.504;2.1871;4.7426;3.8107;5.2778;5.8109;6.2147;3.6113;7.9359;7.8509;9.5615;10.1084;6.6758;4.3344;4.3616;7.2826;7.7933;4.2827;1.9463;6.8594;7.1694;4.2482;4.9132;5.2278;5.8367;0.5474;10.3931;10.8102
0;52.93600000000001;3.8374;8.4921;11.7581;10.9918;12.7048;10.3469;4.8031;4.904;15.5248;4.789;8.0225;7.2473;9.7189;7.5806;4.2946;4.9397;11.9148;5.0471;2.5066;5.7578;4.4018;6.29;7.0614;7.1327;4.2327;9.2028;8.8724;11.011;11.7971;7.5736;4.9919;4.7858;8.5671;9.3099;4.8089;2.4239;8.607000000000001;9.094;4.7883;6.1846;6.6863;6.6085;0.7861;12.3148;12.9526
1;48.0756;4.0539;9.0312;12.6771;11.3539;12.7875;10.3002;5.1074;5.2563;15.7283;5.0432;8.7375;7.34;9.5289;7.2808;4.2518;4.8591;11.8676;5.0735;2.3331;5.6973;4.5128;6.6114;7.2718;6.8832;3.9291;9.1203;9.0501;11.5014;12.1854;7.1837;5.2573;5.1916;8.7432;9.3723;4.8398;2.5568;8.336;8.6876;4.7942;5.7813;6.1504;6.7712;0.6935;12.1527;12.6527
1;47.1941;3.7035;7.9981;11.3137;10.3758;11.6771;9.6205;4.8744;5.1215;14.4459;4.3754;7.7553;6.7151;8.7951;6.9253;4.2043;4.8754;10.9515;4.9241;2.395;5.4442;4.3042;5.9566;6.6572;6.6167;3.9239;8.9951;8.7085;10.6779;11.4082;7.3192;5.0797;4.9060000000000015;8.1265;8.785;4.5697;2.1003;7.489;7.8181;4.5611;5.3986;5.7586;6.1165;0.7409;11.1608;11.6591
0;49.5599;3.2375;7.7047;11.0608;9.9907;10.9862;9.2682;4.3266;4.4654;14.1131;4.4861;8.0316;6.757999999999999;8.3078;6.6619;3.6817;4.1864;10.9876;4.887;2.3092;5.0857;4.0087;6.0354;6.6071;6.5955;3.8131;8.7151;8.3373;10.6727;11.2606;7.2975;4.9076;4.6098;8.1897;8.7411;4.681;1.7245;7.3942;7.7263;4.6364;5.7094;6.072;5.869;0.5889;11.3237;11.7673
0;57.0799;3.7152;8.5694;12.1885;11.1713;12.7969;10.4666;5.0283;5.3032;16.3104;4.9682;8.5729;7.5094;10.1086;7.9251;4.6596;5.3608;12.8618;5.3054;2.6458;6.4357;4.976;6.7155;7.4616;7.9369;3.9978;10.3117;9.6996;11.7828;12.5584;8.4613;6.3217;5.808;9.1965;9.9092;5.7869;2.3454;8.4943;8.8265;5.7828;6.184;6.5643;7.3454;0.7843;13.0919;13.6274
0;47.2886;3.4796;7.7802;10.623;9.86;11.1634;9.2846;4.5796;4.8657;14.0815;4.4188;7.2312;6.4564;8.5334;6.8447;3.9175;4.7406;10.836;4.4603;2.0927;5.0792;4.1108;5.5778;6.4419;6.4378;3.6816;8.3954;8.1583;9.771;10.6801;7.0360000000000005;4.721;4.5902;7.4865;8.3002;4.588;1.933;7.1055;7.5084;4.588;5.1732;5.5996;6.0784;0.9229;10.8312;11.4479
0;47.8782;3.54;7.7459;10.9887;9.9982;10.9174;8.9784;4.2436;4.386;13.9408;4.2966;7.5166;6.5158;8.335;6.5011;3.8957;4.4876;10.6863;4.4367;2.2608;5.305;4.1128;5.9517;6.6044;6.4799;3.3585;8.4942;8.0342;10.2277;10.8976;6.9378;5.1409;4.7734;8.0288;8.6548;4.627;1.9408;7.1997;7.5433;4.6143;5.308;5.6975;5.9336;0.6741;10.9807;11.470999999999998
0;50.8555;3.6134;7.7929;11.1671;10.1876;11.7106;9.1215;4.4249;4.6666;14.8622;4.2387;7.6783;6.608;8.9155;6.4657;3.7156;4.3827;11.4264;4.6857;2.4035;5.7805;4.1111;5.715;6.3682;7.2314;3.6107;8.9125;8.2657;10.2309;10.9195;7.2806;5.3271;4.7843;7.9117;8.5161;5.0936;2.595;7.7268;7.9614;5.1205;5.1715;5.466;6.8607;0.7137;11.7084;12.1436
